system,sid,user,intent_NLU,intent_ASU,intent_DAC,entities,sys_intent,system_utt,info
EXP-RANK,28262398,any mexican restaurants,-,inform,SQ,"{'food': 'mexican', 'name': 'Las Iguanas'}",inform,Las Iguanas is a restaurant serving mexican food. If you want fantastic Mexican/Brazilian and Spanish food please visit this restaurant! You can type 'next option' or another query.,['If you want fantastic Mexican/Brazilian and Spanish food please visit this restaurant!']
EXP-RANK,28262398,cost,-,request,IRq,"{'name': 'Las Iguanas', 'pricerange': 'cheap'}",answer,Las Iguanas is a restaurant in the cheap price range.,-
EXP-RANK,28262398,next option,next,-,O,"{'food': 'mexican', 'name': 'Nanna Mexico'}",inform,"Nanna Mexico is a restaurant that serves mexican food. Mexican, Latin, Fast food, Central American, South American.","['Mexican, Latin, Fast food, Central American, South American']"
EXP-RANK,28262398,cost,-,request,IRq,"{'name': 'Nanna Mexico', 'pricerange': 'expensive'}",answer,Nanna Mexico is a restaurant in the expensive price range.,-
EXP-RANK,28262398,what's the address,-,request,IRq,"{'name': 'Nanna Mexico', 'addr': '29 Petty Cury'}",answer,The address of Nanna Mexico is 29 Petty Cury.,-
EXP-RANK,28262398,thanks,thanking,-,O,{},acceptThanking,My pleasure.,-
EXP-RANK,28262398,<hangup>,hangup,-,-,-,acceptThanking,<hangup>,-
EXP-RANK,13362397,"i have a lunch date with a new nigerian friend i just met, can you recommend a nice african restaurant that serves mainly african delicacies",-,inform,SQ,"{'food': 'african', 'name': 'Eko Kitchen'}",inform,"Eko Kitchen is a restaurant serving african food. Stumbled across this place during a walk around town. The very friendly, personable owner is also, I think, the chef, and helped us with suggestions about the Nigerian cuisine on offer. You can type 'next option' or another query.","['Stumbled across this place during a walk around town. The very friendly, personable owner is also, I think, the chef, and helped us with suggestions about the Nigerian cuisine on offer. We had never had African food before but were up for a new experience. The homemade courses we tried were delicious not sure about pricing for portions, but perhaps they must make up for lack of customer volume. This restaurant appears to open later than many other Cambridge restaurants, especially on weekdays for dinner. There is also a store next door that sells African and Caribbean products.']"
EXP-RANK,13362397,next option,next,-,O,{'name': 'Al Casbah'},inform,"How about Al Casbah? We were looking for a restaurant that does decent vegan/veggie food, and also wanted something a little different; we decided on Bedouin, as it was rated #28 of 428 in Cambridge and looked cool.","['We were looking for a restaurant that does decent vegan/veggie food, and also wanted something a little different; we decided on Bedouin, as it was rated #28 of 428 in Cambridge and looked cool. We rocked up without a booking, though, and the place was heaving - they suggested we try Al Casbah, their sister restaurant just down the road. Which we (and the couple behind us) decided to do. (I checked just now and Al Casbah is #60 of 428, so not bad).']"
EXP-RANK,13362397,next option,next,-,O,{'name': 'Africfood'},inform,How about Africfood? Delicious African food. Ordered the chicken with jollof rice and it was amazing please can you bring some patty's down to Amazon next week thanks !!,"[""Delicious African food. Ordered the chicken with jollof rice and it was amazing please can you bring some patty's down to Amazon next week thanks !!""]"
EXP-RANK,13362397,next option,next,-,O,{'name': 'Africfood'},inform,"Sorry, currently we do not have any other options.","[""Delicious African food. Ordered the chicken with jollof rice and it was amazing please can you bring some patty's down to Amazon next week thanks !!""]"
EXP-RANK,13362397,"okay, can i get the exact address of eko kitchen, i would like to go there for my lunch date",-,request,IRq,"{'name': 'Eko Kitchen', 'addr': '8 Norfolk Street'}",answer,The address of Eko Kitchen is 8 Norfolk Street.,-
EXP-RANK,13362397,"great, thank you for your time",thanking,-,O,{},acceptThanking,You're welcome.,-
EXP-RANK,13362397,<hangup>,hangup,-,-,-,acceptThanking,<hangup>,-
EXP-RANK,48262400,i would like a steak house place to eat,-,inform,SQ,"{'food': 'steakhouse', 'name': 'River Bar Steakhouse & Grill'}",inform,River Bar Steakhouse & Grill is a restaurant serving steakhouse food. If you like steak then you must visit. You can type 'next option' or another query.,['If you like steak then you must visit.']
EXP-RANK,48262400,next option,next,-,O,"{'food': 'steakhouse', 'name': ""Rocker's Steak House""}",inform,"Rocker's Steak House is a restaurant that serves steakhouse food. Great burgers and a nice clean well decorated restaurant, I will be trying the steaks next time for deffinite.","['Great burgers and a nice clean well decorated restaurant, I will be trying the steaks next time for deffinite']"
EXP-RANK,48262400,"i would like a place that has new orlean style food with many options,",-,-,SQ,"{'food': 'steakhouse', 'name': ""Rocker's Steak House""}",inform,Rocker's Steak House is a restaurant serving steakhouse food. Came here for a meal and we were in for a treat. You can type 'next option' or another query.,['Came here for a meal and we were in for a treat.']
EXP-RANK,48262400,can you find me a sushi place,-,-,SQ,"{'food': 'steakhouse', 'name': 'River Bar Steakhouse & Grill'}",inform,River Bar Steakhouse & Grill is a restaurant that serves steakhouse food. If you like steak then you must visit. You can type 'next option' or another query.,['If you like steak then you must visit.']
EXP-RANK,48262400,i love raw oysters. where can i go,-,inform,SQ,"{'food': 'seafood', 'name': 'Loch Fyne'}",inform,Loch Fyne is a restaurant that serves seafood. My fave would be the oysters with chilli and coriander dressing. Lovely seafood selection. You can type 'next option' or another query.,['My fave would be the oysters with chilli and coriander dressing. Lovely seafood selection.']
EXP-RANK,48262400,what is the address,-,request,IRq,"{'name': 'Loch Fyne', 'addr': '37 Trumpington Street'}",answer,The address of Loch Fyne is 37 Trumpington Street.,-
EXP-RANK,48262400,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,14362401,"please help me find a casual, affordable restaurant for a lunch date with my husband in cambridge",-,-,SQ,{'name': 'The Cambridge Chop House'},inform,How about The Cambridge Chop House? Came here for lunch with my food critic father (not officially a food critic) after a days photo taking around the city. You can type 'next option' or another query.,['Came here for lunch with my food critic father (not officially a food critic) after a days photo taking around the city.']
EXP-RANK,14362401,"what kind of food do they serve, and what is their price range",-,request,IRq,"{'name': 'The Cambridge Chop House', 'pricerange': 'expensive'}",answer,The Cambridge Chop House is a restaurant in the expensive price range.,-
EXP-RANK,14362401,what kind of food do they serve,-,request,IRq,"{'name': 'The Cambridge Chop House', 'food': 'European and British'}",answer,The Cambridge Chop House is a restaurant serving European and British food.,-
EXP-RANK,14362401,"okay, can you give me other options",-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,14362401,"i'm looking for a casual, affordable restaurant for a lunch date with my husband in cambridge",-,-,SQ,{'name': 'The Cambridge Chop House'},inform,How about The Cambridge Chop House? Came here for lunch with my food critic father (not officially a food critic) after a days photo taking around the city. You can type 'next option' or another query.,['Came here for lunch with my food critic father (not officially a food critic) after a days photo taking around the city.']
EXP-RANK,14362401,any other options,-,-,O,{},autoNegative,"Sorry, I only know about restaurants.",-
EXP-RANK,14362401,next option,next,-,O,{'name': 'Carluccios - Cambridge'},inform,"How about Carluccios - Cambridge? On our trip to Cambridge, after shopping, we've decided to go for a lunch to Carluccio's as we haven't been there for a while. Restaurant was very busy, however our waiter...","[""On our trip to Cambridge, after shopping, we've decided to go for a lunch to Carluccio's as we haven't been there for a while. Restaurant was very busy, however our waiter""]"
EXP-RANK,14362401,what is the price range,-,request,IRq,"{'name': 'Carluccios - Cambridge', 'pricerange': 'expensive'}",answer,Carluccios - Cambridge is a restaurant that is expensive.,-
EXP-RANK,14362401,do they serve italian,-,request,IRq,"{'name': 'Carluccios - Cambridge', 'food': 'Italian'}",answer,Carluccios - Cambridge is a restaurant serving Italian food.,-
EXP-RANK,14362401,i'm looking for an inexpensive option,-,inform,SQ,"{'pricerange': 'cheap', 'name': 'Wildwood Restaurant'}",inform,Wildwood Restaurant is a restaurant that is in the cheap price range. resonable price and mid range price. You can type 'next option' or another query.,['resonable price and mid range price']
EXP-RANK,14362401,what other inexpensive options  are there,-,inform,SQ,"{'pricerange': 'cheap', 'name': 'Wagamama'}",inform,"Wagamama is a cheap restaurant. To be honest, they're all pretty much the same. Good choice of food, quick service and prices aren't too bad. You can type 'next option' or another query.","[""To be honest, they're all pretty much the same. Good choice of food, quick service and prices aren't too bad.""]"
EXP-RANK,14362401,what kind of food does wildwood restaurant serve,-,request,IRq,"{'name': 'Wagamama', 'food': 'Japanese and Asian'}",answer,Wagamama is a restaurant serving Japanese and Asian food.,-
EXP-RANK,14362401,okay. what kind of food does wildwood restaurant serve,-,request,IRq,"{'name': 'Wagamama', 'food': 'Japanese and Asian'}",answer,Wagamama is a restaurant that serves Japanese and Asian food.,-
EXP-RANK,14362401,tell me more about wildwood restaurant,-,-,SQ,"{'pricerange': 'cheap', 'name': 'Wagamama'}",inform,"Wagamama is a restaurant in the cheap price range. First time dining so bit of an experience. If you're not from the UK, it's a communal dining system where you share tables so if you are after something intimate, try again. You can type 'next option' or another query.","[""First time dining so bit of an experience. If you're not from the UK, it's a communal dining system where you share tables so if you are after something intimate, try again.""]"
EXP-RANK,14362401,next option,next,-,O,"{'pricerange': 'cheap', 'name': 'Bedouin'}",inform,"Bedouin is a cheap restaurant. If you are looking for more than just a meal, then Bedouin is the place for you!","['If you are looking for more than just a meal, then Bedouin is the place for you!']"
EXP-RANK,14362401,what kind of food to they serve,-,request,IRq,"{'name': 'Bedouin', 'food': 'Mediterranean, European, Asian, British, Central European and Cafe'}",answer,"Bedouin is a restaurant that serves Mediterranean, European, Asian, British, Central European and Cafe food.",-
EXP-RANK,14362401,what is the address,-,request,IRq,"{'name': 'Bedouin', 'addr': '98-100 Mill Road'}",answer,The address of Bedouin is 98-100 Mill Road.,-
EXP-RANK,14362401,okay thank you,thanking,-,O,{},acceptThanking,My pleasure.,-
EXP-RANK,14362401,<hangup>,hangup,-,-,-,acceptThanking,<hangup>,-
EXP-RANK,38152415,"i like to try an italian restaurant, any sugestion",-,inform,SQ,"{'food': 'italian', 'name': 'La Mimosa'}",inform,I did not quite catch that. Could you please rephrase?,['I was looking for an authentic Italian restaurant in Cambridge as I travel to Italy a lot and love the cuisine. A friend of ours recommended La Mimosa. The restaurant is situated in a beautiful location on the banks of the River Cam by Jesus Green.']
EXP-RANK,38152415,any other suggestion for italian resturant,-,inform,SQ,"{'food': 'italian', 'name': 'Tradizioni'}",inform,Tradizioni is a restaurant that serves italian food. Visiting Cambridge and wanting to eat Italian we found traditions from tripadvisor. You can type 'next option' or another query.,['Visiting Cambridge and wanting to eat Italian we found traditions from tripadvisor.']
EXP-RANK,38152415,where is tradizioni located,-,request,IRq,"{'name': 'Tradizioni', 'area': 'centre'}",answer,Tradizioni is a restaurant that is in the centre area.,-
EXP-RANK,38152415,can you give me the exact address,-,request,IRq,"{'name': 'Tradizioni', 'addr': '18 The Broadway'}",answer,The address of Tradizioni is 18 The Broadway.,-
EXP-RANK,38152415,how about its telephone number,-,request,IRq,"{'name': 'Tradizioni', 'phone': '+44 1223 245966'}",answer,The phone number of Tradizioni is +44 1223 245966.,-
EXP-RANK,38152415,what is the price range,-,request,IRq,"{'name': 'Tradizioni', 'pricerange': 'moderate'}",answer,Tradizioni is a moderately priced restaurant.,-
EXP-RANK,38152415,can you give me an example on pricing,-,request,IRq,"{'name': 'La Mimosa', 'pricerange': 'cheap'}",answer,La Mimosa is a restaurant in the cheap price range.,-
EXP-RANK,38152415,what is the price for a medium pizza,-,request,IRq,"{'name': 'La Mimosa', 'pricerange': 'cheap'}",answer,La Mimosa is a restaurant in the cheap price range.,-
EXP-RANK,38152415,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,46942416,i want a nice lunch restaurant that's kid friendly,-,-,SQ,{'name': 'Bill’s Cambridge'},inform,"I would suggest Billâ€™s Cambridge. Chilled out atmosphere, informal yet efficient service. A little crowded but adds to its vibe for a young to middle age crowd. Ideal place to take a student child when visiting. You can type 'next option' or another query.","[""Chilled out atmosphere, informal yet efficient service. A little crowded but adds to its vibe for a young to middle age crowd. Ideal place to take a student child when visiting. For me it's a lunch venue!""]"
EXP-RANK,46942416,where is it located,-,request,IRq,"{'name': 'Bill’s Cambridge', 'addr': '34-35 Green Street'}",answer,The address of Billâ€™s Cambridge is 34-35 Green Street.,-
EXP-RANK,46942416,is that in the center,-,request,IRq,"{'name': 'Bill’s Cambridge', 'area': 'centre'}",answer,Billâ€™s Cambridge is a restaurant that is in the centre area.,-
EXP-RANK,46942416,next option,next,-,O,{'name': 'The Oak Bistro'},inform,"How about The Oak Bistro? A very welcoming restaurant with good food, especially for lunch. there is a delightful little courtyard for when the weather is good.","['A very welcoming restaurant with good food, especially for lunch. there is a delightful little courtyard for when the weather is good.']"
EXP-RANK,46942416,is that in the center,-,request,IRq,"{'name': 'The Oak Bistro', 'area': 'centre'}",answer,The Oak Bistro is a restaurant in the centre area.,-
EXP-RANK,46942416,next option,next,-,O,{'name': 'Midsummer House'},inform,How about Midsummer House? We had the lunch menu it was so good value we will be back to try the tasting menu soon.,['We had the lunch menu it was so good value we will be back to try the tasting menu soon']
EXP-RANK,46942416,can i get the address for the oak bistro,-,request,IRq,"{'name': 'The Oak Bistro', 'addr': '6 Lensfield Road'}",answer,The address of The Oak Bistro is 6 Lensfield Road.,-
EXP-RANK,46942416,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,22992417,family friendly mexican food,-,inform,SQ,"{'food': 'mexican', 'name': 'Las Iguanas'}",inform,"Las Iguanas is a restaurant that serves mexican food. Happy to have finally found decent mexican style/latin style food in this area. Although not the best I've ever had, all of the food was very good. I would definitely recommend it and will be going back very soon. You can type 'next option' or another query.","[""Happy to have finally found decent mexican style/latin style food in this area. Although not the best I've ever had, all of the food was very good. I would definitely recommend it and will be going back very soon. The service was great and we were very satisfied!""]"
EXP-RANK,22992417,romantic italian restaurant good pasta,-,inform,SQ,"{'food': 'italian', 'name': ""Gattuso's Trattoria Pizzeria""}",inform,"Gattuso's Trattoria Pizzeria is a restaurant serving italian food. Really good Italian food, amazing pizza and wonderful cakes!! You can type 'next option' or another query.","['Really good Italian food, amazing pizza and wonderful cakes!!']"
EXP-RANK,22992417,next option,next,-,O,"{'food': 'italian', 'name': 'Limoncello Delicatessen & Bistro'}",inform,"Limoncello Delicatessen & Bistro is a restaurant serving italian food. Great food, great service and great atmosphere. Love the pasta, great selection on the pizzas! A hidden gem down mill road.","['Great food, great service and great atmosphere. Love the pasta, great selection on the pizzas! A hidden gem down mill road']"
EXP-RANK,22992417,next option,next,-,O,"{'food': 'italian', 'name': 'Tradizioni'}",inform,"Tradizioni is a restaurant that serves italian food. This little place serves wonderful food, just like you get in Italy. The Carbonara was fantastic. The tiramisu really good. If you want traditional Italian food, ie you choose your sauce followed by the type of pasta toy want, you'll love this place.","[""This little place serves wonderful food, just like you get in Italy. The Carbonara was fantastic. The tiramisu really good. If you want traditional Italian food, ie you choose your sauce followed by the type of pasta toy want, you'll love this place. Can't recommend it highly enough.""]"
EXP-RANK,22992417,italian restaurant with a romantic atmosphere and lots of parking,-,inform,SQ,"{'food': 'italian', 'name': 'Stazione Restaurant & Coffee bar'}",inform,"Stazione Restaurant & Coffee bar is a restaurant serving italian food. Stazione Restaurant A Relaxed Italian & Mediterranean Restaurant in the centre of Cambridge, option of al fresco dining, excellent wine cellar, attentive waiting staff. You can type 'next option' or another query.","['Stazione Restaurant A Relaxed Italian & Mediterranean Restaurant in the centre of Cambridge, option of al fresco dining, excellent wine cellar, attentive waiting staff.']"
EXP-RANK,22992417,get address for tradizioni,-,request,IRq,"{'name': 'Stazione Restaurant & Coffee bar', 'addr': '1A Market Hill Entrances on both Market HIll and Petty Cury'}",answer,Could you please rephrase that?,-
EXP-RANK,22992417,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,57892418,i want a restaurant with a nice outdoor area,-,-,SQ,{'name': 'Galleria Restaurant'},inform,"How about Galleria Restaurant? Nice food, but especially great location if you get to sit outside in the terrace on a nice summer day! You can type 'next option' or another query.","['Nice food, but especially great location if you get to sit outside in the terrace on a nice summer day!']"
EXP-RANK,57892418,what is the price rnage,-,request,IRq,"{'name': 'Galleria Restaurant', 'pricerange': 'expensive'}",answer,Galleria Restaurant is a restaurant that is in the expensive price range.,-
EXP-RANK,57892418,next option,next,-,O,{'name': 'The Oak Bistro'},inform,"How about The Oak Bistro? A very welcoming restaurant with good food, especially for lunch. there is a delightful little courtyard for when the weather is good.","['A very welcoming restaurant with good food, especially for lunch. there is a delightful little courtyard for when the weather is good.']"
EXP-RANK,57892418,what is the price range,-,request,IRq,"{'name': 'The Oak Bistro', 'pricerange': 'cheap'}",answer,The Oak Bistro is a cheap restaurant.,-
EXP-RANK,57892418,next option,next,-,O,{'name': 'Midsummer House'},inform,"I would suggest Midsummer House. A lovely restaurant which I would love to go to in high summer as there is a little garden,","['A lovely restaurant which I would love to go to in high summer as there is a little garden,']"
EXP-RANK,57892418,can i get the address for galleria restaurant,-,request,IRq,"{'name': 'Galleria Restaurant', 'addr': '33 Bridge Street'}",answer,The address of Galleria Restaurant is 33 Bridge Street.,-
EXP-RANK,57892418,<hangup>,hangup,-,-,-,answer,<hangup>,-
EXP-RANK,58102421,i need a restaurant where i can take children,-,-,SQ,{'name': 'Navadhanya'},inform,I would suggest Navadhanya. We had family visit and wanted to try the restaurant again. You can type 'next option' or another query.,['We had family visit and wanted to try the restaurant again.']
EXP-RANK,58102421,what type of food does it serve,-,request,IRq,"{'name': 'Navadhanya', 'food': 'Indian'}",answer,Navadhanya is a restaurant that serves Indian food.,-
EXP-RANK,58102421,next option,next,-,O,{'name': 'Las Iguanas'},inform,How about Las Iguanas? I went there for lunch with my friends. We both were with babies so we thought about this place because theres space!,['I went there for lunch with my friends. We both were with babies so we thought about this place because theres space!']
EXP-RANK,58102421,what type of food does it serve,-,request,IRq,"{'name': 'Las Iguanas', 'food': 'Mexican, Latin, International, Spanish and Street Food'}",answer,"Las Iguanas is a restaurant that serves Mexican, Latin, International, Spanish and Street Food food.",-
EXP-RANK,58102421,next option,next,-,O,{'name': 'Bill’s Cambridge'},inform,"How about Billâ€™s Cambridge? My friend and I decided to go out for dinner so on the suggestion of my friend, we booked a table at Bills.","['My friend and I decided to go out for dinner so on the suggestion of my friend, we booked a table at Bills.']"
EXP-RANK,58102421,what type of food does it serve,-,request,IRq,"{'name': 'Bill’s Cambridge', 'food': 'British'}",answer,Billâ€™s Cambridge is a restaurant serving British food.,-
EXP-RANK,58102421,is it good for children do you think,-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,58102421,how expensive is bill's cambridge,-,request,IRq,"{'name': 'Bill’s Cambridge', 'pricerange': 'expensive'}",answer,Billâ€™s Cambridge is an expensive restaurant.,-
EXP-RANK,58102421,next option,next,-,O,{'name': 'MillWorks'},inform,"I would suggest MillWorks. Two of us visited this restaurant, and we discovered.....","['Two of us visited this restaurant, and we discovered.....']"
EXP-RANK,58102421,yes,-,-,O,{},autoNegative,"Sorry, I only know about restaurants.",-
EXP-RANK,58102421,what did you discover about millworks,-,-,IRq,{},autoNegative,"Sorry, I don't know how to answer this question.",-
EXP-RANK,58102421,what type of food does millworks serve,-,request,IRq,"{'name': 'MillWorks', 'food': 'British'}",answer,MillWorks is a restaurant that serves British food.,-
EXP-RANK,58102421,how expensive is it,-,request,IRq,"{'name': 'MillWorks', 'pricerange': 'expensive'}",answer,MillWorks is an expensive restaurant.,-
EXP-RANK,58102421,next option.  something cheap,next,-,SQ,{'name': 'Loch Fyne'},inform,I would suggest Loch Fyne. Getting the hang of using this site now for dining out.,['Getting the hang of using this site now for dining out.']
EXP-RANK,58102421,what type of food does loch fyne serve,-,"('inform', 'request')",IRq,"{'name': 'Loch Fyne', 'food': 'Seafood'}",answer,Loch Fyne is a restaurant that serves Seafood food.,-
EXP-RANK,58102421,how expensive is it,-,request,IRq,"{'name': 'Loch Fyne', 'pricerange': 'moderate'}",answer,Loch Fyne is a moderately priced restaurant.,-
